path_index,feature_values,feature_values_normalized,feature_outcomes_normalized,is_critical,is_maxima,is_minima,is_inflection,is_saddle,num_critical,num_maxima,num_minima,num_inflection,num_saddle,feature,fit,lambda,xlabel,ylabel,feature_friendly,feature_description,sensitivity,feature_outcomes,slope
298,647.52508361,-0.904626451,-0.299969991,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146772.26477,
298,647.52508361,-0.904626451,-0.299969991,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146772.26477,
298,664.56521739,-0.866101684,-0.297064179,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147002.11992,
298,664.56521739,-0.866101684,-0.297064179,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147002.11992,
298,681.60535117,-0.827576917,-0.294095374,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147236.95791,
298,681.60535117,-0.827576917,-0.294095374,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147236.95791,
298,698.64548495,-0.789052151,-0.291050887,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147477.78248,
298,698.64548495,-0.789052151,-0.291050887,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147477.78248,
298,715.68561873,-0.750527384,-0.287918028,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147725.59739,
298,715.68561873,-0.750527384,-0.287918028,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147725.59739,
298,732.72575251,-0.712002617,-0.284684109,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147981.40637,
298,732.72575251,-0.712002617,-0.284684109,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,147981.40637,
298,749.76588629,-0.67347785,-0.28133644,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,148246.21317,
298,749.76588629,-0.67347785,-0.28133644,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,148246.21317,
